id,pai,x0,y0,x1,y1,raio,comprimento,fluxo,resistencia,volume
5,0,0,0.05,0,0.05,1,0,8.33e-06,0,0
15,5,0,0.05,0.00323067,0.0431025,0.885442,0.0076166,5.9976e-06,0.000113596,0.0187599
55,15,0.00323067,0.0431025,0.00733438,0.0297809,0.876252,0.0139394,5.831e-06,0.000216755,0.0336241
3,55,0.00733438,0.0297809,0.0100285,0.0178794,0.866895,0.0122026,5.6644e-06,0.000198075,0.0288094
7,3,0.0100285,0.0178794,-0.00346372,-0.00153963,0.806745,0.0236461,4.6648e-06,0.00051175,0.0483485
69,7,-0.00346372,-0.00153963,-0.00346372,-0.00153963,0.684964,0,2.9988e-06,0,0
49,69,-0.00346372,-0.00153963,-0.00192121,-0.00421991,0.670616,0.00309245,2.8322e-06,0.000140168,0.00436918
9,49,-0.00192121,-0.00421991,0.000875381,-0.0142452,0.655726,0.0104081,2.6656e-06,0.000516088,0.0140593
11,9,0.000875381,-0.0142452,-0.00555489,-0.0268351,0.507259,0.014137,1.3328e-06,0.0019574,0.0114279
25,11,-0.00555489,-0.0268351,-0.00359722,-0.0348544,0.426216,0.00825477,8.33e-07,0.00229313,0.00471101
1,25,-0.00359722,-0.0348544,-0.005,-0.04,0.234829,0.00533339,1.666e-07,0.0160782,0.000923967
33,25,-0.00359722,-0.0348544,0.000150287,-0.0357889,0.392407,0.00386227,6.664e-07,0.00149327,0.00186838
85,33,0.000150287,-0.0357889,0.00252638,-0.0415413,0.352747,0.00622376,4.998e-07,0.00368504,0.00243293
24,85,0.00252638,-0.0415413,0.0115248,-0.0477859,0.234829,0.010953,1.666e-07,0.0330194,0.00189752
97,85,0.00252638,-0.0415413,0.00069555,-0.043825,0.30356,0.00292698,3.332e-07,0.00315999,0.000847343
84,97,0.00069555,-0.043825,0.000555015,-0.0492007,0.234829,0.00537753,1.666e-07,0.0162113,0.000931615
