id,pai,x0,y0,z0,x1,y1,z1,raio,comprimento,fluxo,resistencia,volume
134,135,0.0350112,-0.0141997,0,0.0345007,-0.0212365,0,0.215443,0.00705524,8.33e-08,0.0300207,0.00102879
169,163,0.0308778,-0.0116214,0,0.0289876,-0.0169483,0,0.271442,0.00565232,1.666e-07,0.0095447,0.00130837
162,169,0.0289876,-0.0169483,0,0.0289876,-0.0169483,0,0.215443,0,8.33e-08,0,0
168,169,0.0289876,-0.0169483,0,0.0306191,-0.0224087,0,0.215443,0.0056989,8.33e-08,0.0242494,0.000831012
114,115,0.0280996,-0.00342855,0,0.0340451,-0.00361874,0,0.215443,0.00594849,8.33e-08,0.0253114,0.000867408
170,171,0.0254715,-0.000551729,0,0.0218143,-0.00521545,0,0.215443,0.00592666,8.33e-08,0.0252185,0.000864224
139,77,0.0140701,0.014002,0,0.0210148,0.0141419,0,0.271442,0.00694609,1.666e-07,0.0117294,0.00160784
76,139,0.0210148,0.0141419,0,0.0210148,0.0141419,0,0.215443,0,8.33e-08,0,0
138,139,0.0210148,0.0141419,0,0.0270086,0.0119352,0,0.215443,0.0063871,8.33e-08,0.0271777,0.000931365
130,131,0.0133717,0.0153087,0,0.00789832,0.0102555,0,0.215443,0.00744933,8.33e-08,0.0316976,0.00108626
92,93,0.0105778,0.0205357,0,0.00469257,0.0157471,0,0.215443,0.00758731,8.33e-08,0.0322847,0.00110638
102,103,0.0102545,0.0217727,0,0.0179606,0.0216762,0,0.215443,0.00770675,8.33e-08,0.032793,0.0011238
54,55,0.00896105,0.0267205,0,-0.00172956,0.0225565,0,0.215443,0.0114729,8.33e-08,0.0488184,0.00167298
85,3,0.00862937,0.0327728,0,0.0163121,0.0307429,0,0.479142,0.00794633,9.163e-07,0.00138214,0.00573119
109,85,0.0163121,0.0307429,0,0.0225322,0.0278602,0,0.464159,0.00685564,8.33e-07,0.00135402,0.00464014
119,109,0.0225322,0.0278602,0,0.025806,0.0249064,0,0.44814,0.00440944,7.497e-07,0.00100224,0.00278203
23,119,0.025806,0.0249064,0,0.0261698,0.0245782,0,0.430887,0.000489938,6.664e-07,0.000130296,0.000285771
75,23,0.0261698,0.0245782,0,0.0328799,0.0188902,0,0.412129,0.00879654,5.831e-07,0.00279527,0.00469383
183,75,0.0328799,0.0188902,0,0.0356245,0.0150243,0,0.391487,0.0047411,4.998e-07,0.00185035,0.00228278
17,183,0.0356245,0.0150243,0,0.0372724,0.00880543,0,0.341995,0.0064335,3.332e-07,0.00431132,0.00236394
2,17,0.0372724,0.00880543,0,0.0456468,0.00886401,0,0.215443,0.00837462,8.33e-08,0.0356348,0.00122119
79,17,0.0372724,0.00880543,0,0.0418396,0.00333407,0,0.310723,0.00712704,2.499e-07,0.00700901,0.00216176
107,79,0.0418396,0.00333407,0,0.0440094,-0.00395058,0,0.271442,0.00760096,1.666e-07,0.0128352,0.00175943
16,107,0.0440094,-0.00395058,0,0.0424104,-0.00727047,0,0.215443,0.00368491,8.33e-08,0.0156797,0.000537333
106,107,0.0440094,-0.00395058,0,0.0483114,-0.00680872,0,0.215443,0.00516484,8.33e-08,0.0219769,0.000753136
78,79,0.0418396,0.00333407,0,0.0490709,0.00128482,0,0.215443,0.00751611,8.33e-08,0.0319818,0.001096
199,183,0.0356245,0.0150243,0,0.0400142,0.0146879,0,0.271442,0.00440256,1.666e-07,0.00743432,0.00101908
182,199,0.0400142,0.0146879,0,0.0400142,0.0146879,0,0.215443,0,8.33e-08,0,0
198,199,0.0400142,0.0146879,0,0.0474697,0.0157042,0,0.215443,0.00752447,8.33e-08,0.0320173,0.00109722
74,75,0.0328799,0.0188902,0,0.0430666,0.0197975,0,0.215443,0.010227,8.33e-08,0.0435169,0.0014913
22,23,0.0261698,0.0245782,0,0.0384543,0.0294247,0,0.215443,0.013206,8.33e-08,0.056193,0.0019257
118,119,0.025806,0.0249064,0,0.0235892,0.0192038,0,0.215443,0.00611831,8.33e-08,0.026034,0.000892171
