id,pai,x0,y0,x1,y1,raio,comprimento,fluxo,resistencia,volume
11,0,0,0.05,0,0.05,1,0,8.33e-06,0,0
43,11,0,0.05,-0.0059424,0.0400939,0.979586,0.0115517,7.8302e-06,0.000115005,0.0348242
15,43,-0.0059424,0.0400939,-0.00902463,0.0360304,0.972589,0.00510027,7.6636e-06,5.22539e-05,0.0151566
3,15,-0.00902463,0.0360304,-0.0170994,0.0111286,0.950969,0.0261782,7.1638e-06,0.000293439,0.0743742
5,3,-0.0170994,0.0111286,-0.00984609,0.00354356,0.904504,0.0104949,6.1642e-06,0.000143741,0.0269743
81,5,-0.00984609,0.00354356,-0.0120329,-0.000829469,0.584804,0.00488931,1.666e-06,0.000383222,0.00525312
9,81,-0.0120329,-0.000829469,-0.0148418,-0.0174183,0.564622,0.016825,1.4994e-06,0.00151764,0.0168508
29,9,-0.0148418,-0.0174183,-0.0132197,-0.0315514,0.430887,0.0142258,6.664e-07,0.00378326,0.00829763
89,29,-0.0132197,-0.0315514,-0.0124136,-0.031682,0.341995,0.0008166,3.332e-07,0.000547233,0.000300054
1,89,-0.0124136,-0.031682,-0.005,-0.04,0.271442,0.0111423,1.666e-07,0.0188152,0.00257915
88,89,-0.0124136,-0.031682,-0.00526488,-0.028097,0.271442,0.00799733,1.666e-07,0.0135046,0.00185118
83,29,-0.0132197,-0.0315514,-0.018847,-0.0360918,0.341995,0.00723061,3.332e-07,0.00484549,0.00265684
28,83,-0.018847,-0.0360918,-0.0207159,-0.0439833,0.271442,0.00810987,1.666e-07,0.0136946,0.00187723
82,83,-0.018847,-0.0360918,-0.0251828,-0.0364161,0.271442,0.00634414,1.666e-07,0.0107129,0.00146851
21,9,-0.0148418,-0.0174183,-0.0252116,-0.0208109,0.464159,0.0109107,8.33e-07,0.00215491,0.00738474
8,21,-0.0252116,-0.0208109,-0.0321878,-0.030887,0.271442,0.0122554,1.666e-07,0.0206949,0.00283681
35,21,-0.0252116,-0.0208109,-0.0269353,-0.0187584,0.430887,0.00268026,6.664e-07,0.000712799,0.00156334
85,35,-0.0269353,-0.0187584,-0.0346443,-0.0192184,0.391487,0.0077227,4.998e-07,0.003014,0.00371837
91,85,-0.0346443,-0.0192184,-0.0393916,-0.0168175,0.341995,0.00531992,3.332e-07,0.00356506,0.00195477
20,91,-0.0393916,-0.0168175,-0.0399007,-0.0156971,0.271442,0.00123055,1.666e-07,0.00207795,0.000284841
90,91,-0.0393916,-0.0168175,-0.0461714,-0.0179907,0.271442,0.0068805,1.666e-07,0.0116187,0.00159266
84,85,-0.0346443,-0.0192184,-0.0419388,-0.0255803,0.271442,0.00967902,1.666e-07,0.0163443,0.00224045
34,35,-0.0269353,-0.0187584,-0.0273351,-0.00796854,0.271442,0.0107973,1.666e-07,0.0182327,0.0024993
80,81,-0.0120329,-0.000829469,-0.0205757,-0.0014555,0.271442,0.0085657,1.666e-07,0.0144644,0.00198274
47,5,-0.00984609,0.00354356,-0.00838675,0.00363025,0.814325,0.00146191,4.4982e-06,3.0477e-05,0.00304556
13,47,-0.00838675,0.00363025,-0.00131472,0.00290853,0.804145,0.00710876,4.3316e-06,0.000155847,0.0144415
45,13,-0.00131472,0.00290853,0.00349003,-0.00140744,0.771944,0.00645858,3.8318e-06,0.000166739,0.0120909
7,45,0.00349003,-0.00140744,0.0167548,-0.00881345,0.748887,0.0151922,3.4986e-06,0.00044279,0.0267672
51,7,0.0167548,-0.00881345,0.0205339,-0.00524902,0.584804,0.00519491,1.666e-06,0.000407175,0.00558146
61,51,0.0205339,-0.00524902,0.0228634,-0.00490375,0.564622,0.00235485,1.4994e-06,0.00021241,0.00235846
23,61,0.0228634,-0.00490375,0.0287739,-0.00174691,0.542884,0.00670074,1.3328e-06,0.000707194,0.0062042
4,23,0.0287739,-0.00174691,0.0409143,-0.00336754,0.271442,0.0122482,1.666e-07,0.0206827,0.00283514
37,23,0.0287739,-0.00174691,0.0320548,0.0148923,0.519249,0.0169596,1.1662e-06,0.00213872,0.0143654
39,37,0.0320548,0.0148923,0.0346501,0.0156991,0.391487,0.00271786,4.998e-07,0.00106072,0.00130861
