id,pai,x0,y0,x1,y1,raio,comprimento,fluxo,resistencia,volume
79,0,0,0.05,0,0.05,1,0,8.33e-06,0,0
63,79,0,0.05,0.00440541,0.0412198,0.993288,0.00982343,8.1634e-06,9.25133e-05,0.0304483
17,63,0.00440541,0.0412198,0.00644862,0.0385433,0.986485,0.00336723,7.9968e-06,3.25952e-05,0.0102944
3,17,0.00644862,0.0385433,0.0112066,0.0256407,0.979586,0.0137519,7.8302e-06,0.00013691,0.0414571
53,3,0.0112066,0.0256407,0.00282837,0.0176759,0.887904,0.0115599,5.831e-06,0.000170504,0.028631
5,53,0.00282837,0.0176759,-0.00283019,0.0106608,0.870659,0.00901285,5.4978e-06,0.000143785,0.0214639
97,5,-0.00283019,0.0106608,-0.000204066,0.00192964,0.724316,0.00911752,3.1654e-06,0.000303674,0.0150274
7,97,-0.000204066,0.00192964,0.00364785,-0.00582531,0.711379,0.0086589,2.9988e-06,0.000309957,0.0137662
47,7,0.00364785,-0.00582531,0.000717854,-0.0130189,0.669433,0.00776742,2.499e-06,0.000354561,0.0109356
11,47,0.000717854,-0.0130189,-0.00739695,-0.0249261,0.654213,0.0144094,2.3324e-06,0.000721128,0.0193747
13,11,-0.00739695,-0.0249261,-0.00441565,-0.0300698,0.542884,0.0059452,1.3328e-06,0.000627455,0.00550465
65,13,-0.00441565,-0.0300698,-0.005,-0.04,0.341995,0.00994738,3.332e-07,0.00666609,0.00365509
1,65,-0.005,-0.04,-0.005,-0.04,0.271442,0,1.666e-07,0,0
64,65,-0.005,-0.04,-0.00358958,-0.0493871,0.271442,0.00949248,1.666e-07,0.0160293,0.00219727
37,13,-0.00441565,-0.0300698,0.0139172,-0.0354829,0.493242,0.0191153,9.996e-07,0.00296062,0.0146101
71,37,0.0139172,-0.0354829,0.0139172,-0.0354829,0.391487,0,4.998e-07,0,0
39,71,0.0139172,-0.0354829,0.0139172,-0.0354829,0.341995,0,3.332e-07,0,0
12,39,0.0139172,-0.0354829,0.0164237,-0.0386781,0.271442,0.00406098,1.666e-07,0.00685751,0.000940013
38,39,0.0139172,-0.0354829,0.00475,-0.0494305,0.271442,0.0166905,1.666e-07,0.0281841,0.00386342
70,71,0.0139172,-0.0354829,0.012453,-0.0273986,0.271442,0.00821591,1.666e-07,0.0138737,0.00190177
61,37,0.0139172,-0.0354829,0.0247306,-0.0313106,0.391487,0.0115904,4.998e-07,0.00452349,0.00558063
36,61,0.0247306,-0.0313106,0.0247306,-0.0313106,0.271442,0,1.666e-07,0,0
77,61,0.0247306,-0.0313106,0.026161,-0.0323049,0.341995,0.00174207,3.332e-07,0.00116742,0.000640112
60,77,0.026161,-0.0323049,0.0354706,-0.032095,0.271442,0.00931192,1.666e-07,0.0157244,0.00215547
76,77,0.026161,-0.0323049,0.0282951,-0.0404692,0.271442,0.00843856,1.666e-07,0.0142497,0.00195331
45,11,-0.00739695,-0.0249261,-0.00888646,-0.0254744,0.493242,0.00158719,9.996e-07,0.000245828,0.00121311
43,45,-0.00888646,-0.0254744,-0.0154539,-0.0329633,0.430887,0.00996064,6.664e-07,0.00264897,0.00580984
81,43,-0.0154539,-0.0329633,-0.0172228,-0.0330208,0.391487,0.00176988,4.998e-07,0.000690745,0.000852172
73,81,-0.0172228,-0.0330208,-0.0210092,-0.0356195,0.341995,0.00459243,3.332e-07,0.00307755,0.00168746
10,73,-0.0210092,-0.0356195,-0.0284244,-0.034384,0.271442,0.00751737,1.666e-07,0.0126941,0.00174008
72,73,-0.0210092,-0.0356195,-0.023163,-0.0406334,0.271442,0.00545692,1.666e-07,0.00921475,0.00126314
80,81,-0.0172228,-0.0330208,-0.0220326,-0.0282257,0.271442,0.00679168,1.666e-07,0.0114687,0.0015721
42,43,-0.0154539,-0.0329633,-0.0167305,-0.043835,0.271442,0.0109464,1.666e-07,0.0184845,0.00253381
87,45,-0.00888646,-0.0254744,-0.0119674,-0.0218491,0.341995,0.00475761,3.332e-07,0.00318824,0.00174815
44,87,-0.0119674,-0.0218491,-0.0210733,-0.0198164,0.271442,0.00933003,1.666e-07,0.015755,0.00215966
86,87,-0.0119674,-0.0218491,-0.0121042,-0.0130058,0.271442,0.0088443,1.666e-07,0.0149348,0.00204723
46,47,0.000717854,-0.0130189,0.0074823,-0.0204589,0.271442,0.0100554,1.666e-07,0.0169799,0.00232757
49,7,0.00364785,-0.00582531,0.0152994,-0.00681182,0.391487,0.0116932,4.998e-07,0.00456361,0.00563013
69,49,0.0152994,-0.00681182,0.0176048,-0.0131004,0.341995,0.00669789,3.332e-07,0.00448849,0.00246109
6,69,0.0176048,-0.0131004,0.0317298,-0.0211089,0.271442,0.0162373,1.666e-07,0.0274189,0.00375852
68,69,0.0176048,-0.0131004,0.0167714,-0.0176094,0.271442,0.00458533,1.666e-07,0.00774294,0.00106139
48,49,0.0152994,-0.00681182,0.022246,-0.00256025,0.271442,0.00814437,1.666e-07,0.0137529,0.00188521
96,97,-0.000204066,0.00192964,-0.00572014,-0.00246317,0.271442,0.00705151,1.666e-07,0.0119074,0.00163225
9,5,-0.00283019,0.0106608,-0.00975419,0.0124021,0.654213,0.00713961,2.3324e-06,0.000357306,0.00959982
41,9,-0.00975419,0.0124021,-0.015221,0.00681705,0.584804,0.00781534,1.666e-06,0.000612562,0.00839687
59,41,-0.015221,0.00681705,-0.0214546,0.00525333,0.564622,0.00642674,1.4994e-06,0.0005797,0.00643659
85,59,-0.0214546,0.00525333,-0.0258427,0.00120742,0.542884,0.00596865,1.3328e-06,0.00062993,0.00552637
15,85,-0.0258427,0.00120742,-0.0296902,-0.000693864,0.519249,0.00429159,1.1662e-06,0.000541199,0.00363513
29,15,-0.0296902,-0.000693864,-0.041117,0.00212445,0.430887,0.0117692,6.664e-07,0.00312995,0.00686474
83,29,-0.041117,0.00212445,-0.0443203,-6.2738e-05,0.341995,0.00387881,3.332e-07,0.00259933,0.00142524
4,83,-0.0443203,-6.2738e-05,-0.0468223,-2.83716e-05,0.271442,0.0025022,1.666e-07,0.0042253,0.000579195
82,83,-0.0443203,-6.2738e-05,-0.0474765,-0.0100597,0.271442,0.0104834,1.666e-07,0.0177026,0.00242664
93,29,-0.041117,0.00212445,-0.0413738,0.00405908,0.341995,0.00195161,3.332e-07,0.00130785,0.000717107
28,93,-0.0413738,0.00405908,-0.0482769,0.0119003,0.271442,0.0104469,1.666e-07,0.017641,0.00241819
92,93,-0.0413738,0.00405908,-0.0365257,0.0116949,0.271442,0.00904489,1.666e-07,0.0152735,0.00209366
25,15,-0.0296902,-0.000693864,-0.0349415,-0.0143603,0.391487,0.0146406,4.998e-07,0.00571391,0.00704926
14,25,-0.0349415,-0.0143603,-0.0349415,-0.0143603,0.271442,0,1.666e-07,0,0
75,25,-0.0349415,-0.0143603,-0.0356527,-0.0176176,0.341995,0.00333407,3.332e-07,0.00223428,0.00122508
24,75,-0.0356527,-0.0176176,-0.0430403,-0.0246072,0.271442,0.0101701,1.666e-07,0.0171736,0.00235412
74,75,-0.0356527,-0.0176176,-0.0315839,-0.0258289,0.271442,0.00916411,1.666e-07,0.0154748,0.00212126
84,85,-0.0258427,0.00120742,-0.0241579,-0.00546976,0.271442,0.00688646,1.666e-07,0.0116287,0.00159404
58,59,-0.0214546,0.00525333,-0.0278401,0.0114141,0.271442,0.00887292,1.666e-07,0.0149831,0.00205386
