id,pai,x0,y0,x1,y1,raio,comprimento,fluxo,resistencia,volume
17,0,0,0.05,0,0.05,1,0,8.33e-06,0,0
15,17,0,0.05,0.00756015,0.0354734,0.977265,0.0163761,7.77467e-06,0.00016459,0.0491343
3,15,0.00756015,0.0354734,0.0129704,0.00935682,0.95342,0.0266711,7.21933e-06,0.000295902,0.0761657
5,3,0.0129704,0.00935682,0.00546187,0.00386131,0.87358,0.00930478,5.55333e-06,0.000146466,0.0223081
7,5,0.00546187,0.00386131,0.00826483,-0.0154382,0.615638,0.0195019,1.94367e-06,0.00124457,0.0232209
19,7,0.00826483,-0.0154382,-0.00534016,-0.036469,0.464159,0.0250478,8.33e-07,0.00494705,0.0169533
43,19,-0.00534016,-0.036469,-0.005,-0.04,0.40548,0.0035473,5.55333e-07,0.00120299,0.00183226
1,43,-0.005,-0.04,-0.005,-0.04,0.32183,0,2.77667e-07,0,0
42,43,-0.005,-0.04,0.00365922,-0.0477767,0.32183,0.0116387,2.77667e-07,0.00994585,0.0037871
18,19,-0.00534016,-0.036469,-0.0205326,-0.0410222,0.32183,0.01586,2.77667e-07,0.0135532,0.00516067
29,7,0.00826483,-0.0154382,0.0146177,-0.0290185,0.510873,0.0149929,1.11067e-06,0.00201779,0.0122931
35,29,0.0146177,-0.0290185,0.0248531,-0.0304297,0.464159,0.0103322,8.33e-07,0.00204064,0.00699317
6,35,0.0248531,-0.0304297,0.032554,-0.0378093,0.32183,0.010666,2.77667e-07,0.00911463,0.00347059
49,35,0.0248531,-0.0304297,0.0281602,-0.0259228,0.40548,0.0055901,5.55333e-07,0.00189576,0.00288741
34,49,0.0281602,-0.0259228,0.03889,-0.0228881,0.32183,0.0111508,2.77667e-07,0.00952889,0.00362833
48,49,0.0281602,-0.0259228,0.0273515,-0.0154366,0.32183,0.0105173,2.77667e-07,0.00898754,0.0034222
28,29,0.0146177,-0.0290185,0.0125365,-0.0414557,0.32183,0.0126101,2.77667e-07,0.010776,0.00410319
21,5,0.00546187,0.00386131,0.00227433,0.00379072,0.75673,0.00318833,3.60967e-06,8.91339e-05,0.0057358
53,21,0.00227433,0.00379072,-0.00846329,-0.00222096,0.736806,0.012306,3.332e-06,0.000382776,0.020988
9,53,-0.00846329,-0.00222096,-0.0182385,-0.0048862,0.715743,0.010132,3.05433e-06,0.000353923,0.0163064
